trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
3060_3355,05:30:00,05:30:00,35443,1,,,,,
3060_3355,05:33:00,05:33:00,35444,2,,,,703.0,
3060_3355,05:34:00,05:34:00,35445,3,,,,1011.0,
3060_3355,05:35:00,05:35:00,35446,4,,,,1289.0,
3060_3355,05:37:00,05:37:00,35447,5,,,,1729.0,
3060_3355,05:39:00,05:39:00,35448,6,,,,2339.0,
3060_3355,05:41:00,05:41:00,35449,7,,,,2829.0,
3060_3355,05:42:00,05:42:00,35450,8,,,,3111.0,
3060_3355,05:45:00,05:45:00,35451,9,,,,3784.0,
3060_3355,05:48:00,05:48:00,35725,10,,,,4572.0,
3060_3355,05:52:00,05:52:00,35726,11,,,,5540.0,
3060_3355,05:53:00,05:53:00,35727,12,,,,5825.0,
3060_3355,05:55:00,05:55:00,35728,13,,,,6326.0,
3060_3355,05:56:00,05:56:00,35729,14,,,,6582.0,
3060_3355,05:59:00,05:59:00,35713,15,,,,7282.0,
3060_3355,06:01:00,06:01:00,35981,16,,,,7896.0,
3060_3355,06:03:00,06:03:00,35894,17,,,,8500.0,
3060_3355,06:04:00,06:04:00,35895,18,,,,8821.0,
3060_3355,06:06:00,06:06:00,36088,19,,,,9395.0,
3060_3356,05:30:00,05:30:00,36088,1,,,,,
3060_3356,05:31:00,05:31:00,36089,2,,,,265.0,
3060_3356,05:34:00,05:34:00,35546,3,,,,1044.0,
3060_3356,05:35:00,05:35:00,35547,4,,,,1220.0,
3060_3356,05:37:00,05:37:00,35548,5,,,,1642.0,
3060_3356,05:39:00,05:39:00,35549,6,,,,2044.0,
3060_3356,05:42:00,05:42:00,35550,7,,,,2759.0,
3060_3356,05:44:00,05:44:00,35551,8,,,,3337.0,
3060_3356,05:47:00,05:47:00,35552,9,,,,4028.0,
3060_3356,05:49:00,05:49:00,35553,10,,,,4490.0,
3060_3356,05:50:00,05:50:00,35554,11,,,,4685.0,
3060_3356,05:51:00,05:51:00,35555,12,,,,4987.0,
3060_3356,05:55:00,05:55:00,35556,13,,,,5928.0,
3060_3356,05:58:00,05:58:00,35411,14,,,,6730.0,
3060_3356,06:00:00,06:00:00,35412,15,,,,7275.0,
3060_3356,06:01:00,06:01:00,35413,16,,,,7614.0,
3060_3356,06:04:00,06:04:00,35414,17,,,,8268.0,
3060_3356,06:07:00,06:07:00,35415,18,,,,8915.0,
3060_3356,06:09:00,06:09:00,35416,19,,,,9348.0,
3060_3356,06:10:00,06:10:00,35417,20,,,,9628.0,
3060_3356,06:13:00,06:13:00,35418,21,,,,10495.0,
3028_3357,05:30:00,05:30:00,35389,1,,,,,
3028_3357,05:32:00,05:32:00,35390,2,,,,474.0,
3028_3357,05:34:00,05:34:00,35391,3,,,,878.0,
3028_3357,05:37:00,05:37:00,35392,4,,,,1516.0,
3028_3357,05:39:00,05:39:00,35393,5,,,,1934.0,
3028_3357,05:43:00,05:43:00,35907,6,,,,2995.0,
3028_3357,05:46:00,05:46:00,35908,7,,,,3797.0,
3028_3357,05:48:00,05:48:00,35909,8,,,,4380.0,
3028_3357,05:50:00,05:50:00,35659,9,,,,4912.0,
3028_3357,05:52:00,05:52:00,35660,10,,,,5462.0,
3028_3357,05:54:00,05:54:00,35661,11,,,,5883.0,
3028_3357,05:56:00,05:56:00,35662,12,,,,6315.0,
3028_3357,05:57:00,05:57:00,35663,13,,,,6538.0,
3028_3357,06:00:00,06:00:00,35664,14,,,,7243.0,
3028_3357,06:02:00,06:02:00,35665,15,,,,7669.0,
3028_3357,06:03:00,06:03:00,35666,16,,,,7935.0,
3028_3357,06:04:00,06:04:00,35667,17,,,,8173.0,
3028_3357,06:06:00,06:06:00,36252,18,,,,8758.0,
3028_3357,06:09:00,06:09:00,35911,19,,,,9497.0,
3028_3357,06:11:00,06:11:00,35581,20,,,,10032.0,
3028_3357,06:14:00,06:14:00,35582,21,,,,10764.0,
3028_3357,06:16:00,06:16:00,35583,22,,,,11181.0,
3028_3357,06:21:00,06:21:00,36253,23,,,,12350.0,
3028_3357,06:23:00,06:23:00,36254,24,,,,12869.0,
3028_3357,06:26:00,06:26:00,35951,25,,,,13593.0,
3028_3357,06:28:00,06:28:00,35952,26,,,,13975.0,
3028_3357,06:31:00,06:31:00,35953,27,,,,14665.0,
3028_3357,06:34:00,06:34:00,35559,28,,,,15410.0,
3028_3357,06:38:00,06:38:00,35560,29,,,,16336.0,
3028_3357,06:41:00,06:41:00,35561,30,,,,17021.0,
3028_3357,06:43:00,06:43:00,35562,31,,,,17615.0,
3028_3357,06:45:00,06:45:00,35563,32,,,,17996.0,
3028_3357,06:47:00,06:47:00,35698,33,,,,18545.0,
3028_3357,06:49:00,06:49:00,35699,34,,,,19044.0,
3028_3357,06:51:00,06:51:00,35538,35,,,,19525.0,
3028_3357,06:54:00,06:54:00,35539,36,,,,20169.0,
3028_3357,06:56:00,06:56:00,35540,37,,,,20697.0,
3028_3357,06:58:00,06:58:00,35541,38,,,,21080.0,
3028_3357,06:59:00,06:59:00,35361,39,,,,21437.0,
3028_3357,07:02:00,07:02:00,36006,40,,,,22136.0,
3028_3357,07:05:00,07:05:00,35861,41,,,,22824.0,
3028_3357,07:07:00,07:07:00,35862,42,,,,23302.0,
3028_3357,07:08:00,07:08:00,35863,43,,,,23492.0,
3028_3357,07:10:00,07:10:00,35984,44,,,,23932.0,
3028_3357,07:12:00,07:12:00,35985,45,,,,24538.0,
3028_3357,07:14:00,07:14:00,36069,46,,,,24952.0,
3028_3357,07:15:00,07:15:00,36070,47,,,,25311.0,
3028_3357,07:17:00,07:17:00,36062,48,,,,25817.0,
3028_3357,07:20:00,07:20:00,36151,49,,,,26474.0,
3028_3357,07:22:00,07:22:00,36152,50,,,,27022.0,
3028_3357,07:23:00,07:23:00,36153,51,,,,27248.0,
3028_3357,07:25:00,07:25:00,36154,52,,,,27863.0,
3028_3357,07:27:00,07:27:00,36155,53,,,,28372.0,
3028_3357,07:29:00,07:29:00,36090,54,,,,28858.0,
3028_3357,07:31:00,07:31:00,36091,55,,,,29405.0,
3028_3357,07:33:00,07:33:00,36092,56,,,,29999.0,
3028_3357,07:35:00,07:35:00,36093,57,,,,30511.0,
3028_3357,07:37:00,07:37:00,36094,58,,,,31039.0,
3028_3357,07:40:00,07:40:00,36095,59,,,,31730.0,
3028_3357,07:42:00,07:42:00,36096,60,,,,32116.0,
3028_3357,07:44:00,07:44:00,36097,61,,,,32545.0,
3028_3357,07:46:00,07:46:00,36200,62,,,,33017.0,
3028_3357,07:47:00,07:47:00,36201,63,,,,33376.0,
3028_3357,07:50:00,07:50:00,36202,64,,,,34207.0,
3028_3357,07:52:00,07:52:00,36203,65,,,,34662.0,
3028_3357,07:54:00,07:54:00,36204,66,,,,35154.0,
3028_3357,07:56:00,07:56:00,36205,67,,,,35651.0,
3028_3357,08:00:00,08:00:00,36206,68,,,,36577.0,
3028_3357,08:02:00,08:02:00,36207,69,,,,36991.0,
3028_3357,08:04:00,08:04:00,36208,70,,,,37466.0,
3028_3357,08:06:00,08:06:00,36246,71,,,,38047.0,
3028_3358,05:30:00,05:30:00,36246,1,,,,,
3028_3358,05:32:00,05:32:00,36220,2,,,,517.0,
3028_3358,05:34:00,05:34:00,36221,3,,,,960.0,
3028_3358,05:36:00,05:36:00,36222,4,,,,1402.0,
3028_3358,05:40:00,05:40:00,36223,5,,,,2293.0,
3028_3358,05:42:00,05:42:00,36224,6,,,,2808.0,
3028_3358,05:44:00,05:44:00,36225,7,,,,3344.0,
3028_3358,05:46:00,05:46:00,36226,8,,,,3740.0,
3028_3358,05:50:00,05:50:00,36227,9,,,,4639.0,
3028_3358,05:51:00,05:51:00,36228,10,,,,4910.0,
3028_3358,05:53:00,05:53:00,36098,11,,,,5457.0,
3028_3358,05:55:00,05:55:00,36099,12,,,,5856.0,
3028_3358,05:56:00,05:56:00,36100,13,,,,6158.0,
3028_3358,05:59:00,05:59:00,36101,14,,,,6841.0,
3028_3358,06:01:00,06:01:00,36102,15,,,,7373.0,
3028_3358,06:03:00,06:03:00,36103,16,,,,7961.0,
3028_3358,06:05:00,06:05:00,36104,17,,,,8438.0,
3028_3358,06:07:00,06:07:00,36105,18,,,,9062.0,
3028_3358,06:09:00,06:09:00,36160,19,,,,9593.0,
3028_3358,06:11:00,06:11:00,36161,20,,,,10166.0,
3028_3358,06:14:00,06:14:00,36162,21,,,,10842.0,
3028_3358,06:17:00,06:17:00,36163,22,,,,11530.0,
3028_3358,06:19:00,06:19:00,36063,23,,,,12077.0,
3028_3358,06:21:00,06:21:00,36064,24,,,,12622.0,
3028_3358,06:23:00,06:23:00,35967,25,,,,13043.0,
3028_3358,06:24:00,06:24:00,35968,26,,,,13293.0,
3028_3358,06:25:00,06:25:00,35969,27,,,,13623.0,
3028_3358,06:27:00,06:27:00,35873,28,,,,14117.0,
3028_3358,06:28:00,06:28:00,35874,29,,,,14441.0,
3028_3358,06:29:00,06:29:00,35875,30,,,,14652.0,
3028_3358,06:32:00,06:32:00,36002,31,,,,15343.0,
3028_3358,06:34:00,06:34:00,35636,32,,,,15886.0,
3028_3358,06:36:00,06:36:00,35637,33,,,,16475.0,
3028_3358,06:37:00,06:37:00,35638,34,,,,16848.0,
3028_3358,06:39:00,06:39:00,35639,35,,,,17287.0,
3028_3358,06:41:00,06:41:00,35640,36,,,,17854.0,
3028_3358,06:43:00,06:43:00,35641,37,,,,18371.0,
3028_3358,06:45:00,06:45:00,35642,38,,,,18794.0,
3028_3358,06:48:00,06:48:00,35643,39,,,,19493.0,
3028_3358,06:50:00,06:50:00,35644,40,,,,19961.0,
3028_3358,06:52:00,06:52:00,35645,41,,,,20505.0,
3028_3358,06:54:00,06:54:00,35646,42,,,,20887.0,
3028_3358,06:57:00,06:57:00,35647,43,,,,21573.0,
3028_3358,07:01:00,07:01:00,35648,44,,,,22486.0,
3028_3358,07:04:00,07:04:00,35957,45,,,,23281.0,
3028_3358,07:07:00,07:07:00,35958,46,,,,23949.0,
3028_3358,07:09:00,07:09:00,36247,47,,,,24462.0,
3028_3358,07:11:00,07:11:00,36248,48,,,,25016.0,
3028_3358,07:13:00,07:13:00,36249,49,,,,25627.0,
3028_3358,07:17:00,07:17:00,35592,50,,,,26727.0,
3028_3358,07:18:00,07:18:00,35593,51,,,,27096.0,
3028_3358,07:21:00,07:21:00,35918,52,,,,27848.0,
3028_3358,07:27:00,07:27:00,36250,53,,,,29249.0,
3028_3358,07:29:00,07:29:00,36251,54,,,,29838.0,
3028_3358,07:30:00,07:30:00,35680,55,,,,30094.0,
3028_3358,07:32:00,07:32:00,35681,56,,,,30482.0,
3028_3358,07:33:00,07:33:00,35682,57,,,,30797.0,
3028_3358,07:35:00,07:35:00,35683,58,,,,31200.0,
3028_3358,07:37:00,07:37:00,35684,59,,,,31575.0,
3028_3358,07:40:00,07:40:00,35685,60,,,,32449.0,
3028_3358,07:42:00,07:42:00,35686,61,,,,32839.0,
3028_3358,07:44:00,07:44:00,35687,62,,,,33219.0,
3028_3358,07:46:00,07:46:00,35688,63,,,,33700.0,
3028_3358,07:48:00,07:48:00,35921,64,,,,34247.0,
3028_3358,07:50:00,07:50:00,35922,65,,,,34844.0,
3028_3358,07:54:00,07:54:00,35468,66,,,,35765.0,
3028_3358,07:58:00,07:58:00,35469,67,,,,36801.0,
3028_3358,08:00:00,08:00:00,35470,68,,,,37264.0,
3028_3358,08:03:00,08:03:00,35471,69,,,,37892.0,
3028_3358,08:04:00,08:04:00,35472,70,,,,38155.0,
3028_3358,08:07:00,08:07:00,35389,71,,,,38892.0,
3059_3359,05:30:00,05:30:00,36583,1,,,,,
3059_3359,05:32:00,05:32:00,36584,2,,,,391.0,
3059_3359,05:34:00,05:34:00,36585,3,,,,845.0,
3059_3359,05:36:00,05:36:00,36586,4,,,,1313.0,
3059_3359,05:38:00,05:38:00,36587,5,,,,1760.0,
3059_3359,05:39:00,05:39:00,36588,6,,,,2076.0,
3059_3359,05:41:00,05:41:00,36589,7,,,,2490.0,
3059_3359,05:42:00,05:42:00,36590,8,,,,2714.0,
3059_3359,05:44:00,05:44:00,36591,9,,,,3102.0,
3059_3359,05:47:00,05:47:00,35757,10,,,,3751.0,
3059_3359,05:48:00,05:48:00,35623,11,,,,4032.0,
3059_3359,05:50:00,05:50:00,35710,12,,,,4563.0,
3059_3359,05:52:00,05:52:00,36007,13,,,,4992.0,
3059_3359,05:54:00,05:54:00,36592,14,,,,5453.0,
3059_3359,05:55:00,05:55:00,36593,15,,,,5791.0,
3059_3359,05:58:00,05:58:00,36594,16,,,,6431.0,
