stop_lat,stop_id,stop_name,stop_lon
55.983525,36363,Сады КАИ,49.040705
55.800634,36202,ж/м Алтай,48.984255
55.747785,35658,проспект Победы,49.212243
55.731496,36436,Нефтебаза,49.093366
55.825451,35867,Можайского,49.032471
55.767046,36497,Заречная,49.252309
55.776414,36623,Закиева,49.219186
55.802827,36222,Жилой массив Новое Аракчино,48.949294
55.802302,36223,ЖК Волжская гавань,48.962124
55.800659,36224,ж/м Старое Аракчино,48.969713
55.800023,36225,Переправа,48.978109
55.800588,36226,ж/м Алтай,48.984224
55.801821,36227,Поликлиника №4,48.998186
55.801606,36228,Водозабор,49.002495
55.800747,36098,Станция Лагерная,49.011089
55.800546,36099,Товарный двор,49.017466
55.800398,36100,Слесарная,49.022297
55.7997,36101,Боевая,49.033147
55.798403,36102,Набережная (ул. Боевая),49.041259
55.797674,36103,Адмиралтейская,49.050127
55.798585,36104,Урицкого,49.057591
55.799774,36105,Серп и Молот,49.067342
55.802877,36160,Речной техникум,49.073472
55.806604,36161,Гладилова,49.070657
55.812061,36162,1 Мая,49.066097
55.815129,36163,25 Октября,49.059186
55.818952,36063,Фрунзе,49.056102
55.822248,36064,Школа №70,49.050931
55.825334,35967,Сабан,49.054834
55.827165,35968,Аптека №293,49.057151
55.829443,35969,Кулахметова,49.059745
55.833028,35873,Разъезд Восстания,49.062844
55.833125,35874,Исаева,49.068037
55.833189,35875,Социально-юридический институт,49.071415
55.833397,36002,пл. Восстания,49.082475
55.834797,35636,Восстания (проспект Ибрагимова),49.090698
55.8358,35637,Кафе Солнышко,49.099952
55.835884,35638,Голубятникова,49.105909
55.835885,35639,Дружба,49.112935
55.835886,35640,Чуйкова,49.122015
55.835886,35641,39-й квартал,49.130299
55.835886,35642,Поликлиника №7,49.137067
55.835329,35643,Роддом №1,49.147267
55.831118,35644,Универсам (ул. Адоратского),49.147266
55.826981,35645,Адоратского,49.14856
55.825821,35646,Гаврилова (проспект Ямашева),49.15425
55.822925,35647,Футбольный стадион Казань Арена (Ямашева проспект),49.163933
55.818891,35648,Ветеринарная академия,49.176465
55.814378,35957,Академика Арбузова,49.185779
55.812291,35958,Торговый дом Риф Эль,49.19581
55.808995,36247,Академика Губкина,49.201284
55.804847,36248,Строительная фирма Тектоник,49.2062
55.800267,36249,Академия Правосудия,49.211616
55.791547,35592,Агропромышленный парк Казань,49.219219
55.788229,35593,Академика Глушко (проспект Победы),49.219168
55.781465,35918,проспект Альберта Камалеева (проспект Победы),49.219014
55.776669,36250,Закиева,49.220339
55.776115,36251,Азинский рынок,49.228808
55.775369,35680,Кабельное телевидение,49.231583
55.771886,35681,Минская (ул. Юлиуса Фучика),49.231412
55.769055,35682,Школа №125,49.231391
55.765431,35683,Ломжинская (ул. Юлиуса Фучика),49.231364
55.762058,35684,Чишмяле (ул. Юлиуса Фучика),49.231332
55.754199,35685,10-й микрорайон,49.231104
55.751271,35686,Кул Гали (ул. Юлиуса Фучика),49.228258
55.7489,35687,Сафиуллина (ул. Юлиуса Фучика),49.223886
55.745898,35688,Фучика,49.218346
55.743103,35921,Фучика д.14,49.211442
55.743668,35922,Фучика д.8,49.202589
55.741216,35468,Деревня Универсиады (проспект Победы),49.192021
55.734728,35469,Южная,49.180148
55.732649,35470,РКБ,49.182607
55.727958,35471,ДРКБ,49.17704
55.726005,35472,Азамат,49.174682
55.721217,35389,Ферма-2,49.171543
55.72521,35390,Азамат,49.174117
55.728264,35391,ДРКБ,49.177571
55.733049,35392,РКБ,49.183203
55.734895,35393,Южная,49.181329
55.741517,35907,Деревня Универсиады (проспект Победы),49.193521
55.74341,35908,Фучика д.8,49.202623
55.742909,35909,Фучика д.14,49.211315
55.745549,35659,Фучика,49.218054
55.74898,35660,Сафиуллина (ул. Юлиуса Фучика),49.224379
55.751608,35661,Кул Гали (ул. Юлиуса Фучика),49.229223
55.755094,35662,10-й микрорайон,49.231369
55.757097,35663,Завойского,49.231427
55.763432,35664,Чишмяле (ул. Юлиуса Фучика),49.231589
55.767264,35665,Ломжинская (ул. Юлиуса Фучика),49.231617
55.769656,35666,Школа №125,49.231634
55.771799,35667,Минская (ул. Юлиуса Фучика),49.23165
55.776174,36252,Азинский рынок,49.230256
55.77681,35911,Закиева,49.219545
55.781618,35581,проспект Альберта Камалеева (проспект Победы),49.219655
55.788198,35582,Академика Глушко (проспект Победы),49.219805
55.791948,35583,Агропромышленный парк Казань,49.219862
55.801145,36253,Академия Правосудия,49.211304
55.80503,36254,Строительная фирма Тектоник,49.206711
55.81045,35951,Академика Губкина,49.200284
55.812653,35952,Торговый дом Риф Эль,49.195815
55.814802,35953,Академика Арбузова,49.18546
55.819062,35559,Ветеринарная академия,49.176841
55.823389,35560,Футбольный стадион Казань Арена (Ямашева проспект),49.164318
55.826036,35561,Гаврилова (проспект Ямашева),49.154448
55.828397,35562,Адоратского,49.147424
55.831821,35563,Универсам (ул. Адоратского),49.147425
55.836065,35698,Роддом №1,49.1462
55.836066,35699,Поликлиника №7,49.138208
55.836066,35538,39-й квартал,49.130504
55.836065,35539,Чуйкова,49.120191
55.836065,35540,Дружба,49.111734
55.836065,35541,Голубятникова,49.105595
55.835972,35361,Кафе Солнышко,49.099896
55.834681,36006,Восстания (проспект Ибрагимова),49.088954
55.833471,35861,пл. Восстания,49.078325
55.833328,35862,Социально-юридический институт,49.070674
55.83327,35863,Исаева,49.067628
55.832675,35984,Разъезд Восстания,49.061448
55.827897,35985,Аптека №293,49.057651
55.824864,36069,Сабан,49.053809
55.82223,36070,Школа №70,49.050477
55.819165,36062,Болотникова,49.054054
55.81463,36151,Парк Петрова,49.058075
