trip_id,trip_headsign,route_id,service_id,shape_id
3060_3355,direction3355,3060,0,shape_3060_3355
3060_3356,direction3356,3060,0,shape_3060_3356
3028_3357,direction3357,3028,0,shape_3028_3357
3028_3358,direction3358,3028,0,shape_3028_3358
3059_3359,direction3359,3059,0,shape_3059_3359
3059_3360,direction3360,3059,0,shape_3059_3360
3035_3361,direction3361,3035,0,shape_3035_3361
3035_3362,direction3362,3035,0,shape_3035_3362
3045_3363,direction3363,3045,0,shape_3045_3363
3045_3364,direction3364,3045,0,shape_3045_3364
3023_3365,direction3365,3023,0,shape_3023_3365
3033_3366,direction3366,3033,0,shape_3033_3366
3033_3367,direction3367,3033,0,shape_3033_3367
2997_3368,direction3368,2997,0,shape_2997_3368
2997_3369,direction3369,2997,0,shape_2997_3369
2999_3370,direction3370,2999,0,shape_2999_3370
2999_3371,direction3371,2999,0,shape_2999_3371
3050_3372,direction3372,3050,0,shape_3050_3372
3050_3373,direction3373,3050,0,shape_3050_3373
3015_3374,direction3374,3015,0,shape_3015_3374
3015_3375,direction3375,3015,0,shape_3015_3375
3015_3376,direction3376,3015,0,shape_3015_3376
3015_3377,direction3377,3015,0,shape_3015_3377
3047_3378,direction3378,3047,0,shape_3047_3378
3047_3379,direction3379,3047,0,shape_3047_3379
3044_3380,direction3380,3044,0,shape_3044_3380
3005_3381,direction3381,3005,0,shape_3005_3381
3017_3382,direction3382,3017,0,shape_3017_3382
3037_3383,direction3383,3037,0,shape_3037_3383
3037_3384,direction3384,3037,0,shape_3037_3384
3009_3385,direction3385,3009,0,shape_3009_3385
3009_3386,direction3386,3009,0,shape_3009_3386
3010_3387,direction3387,3010,0,shape_3010_3387
3010_3388,direction3388,3010,0,shape_3010_3388
3038_3389,direction3389,3038,0,shape_3038_3389
3064_3390,direction3390,3064,0,shape_3064_3390
3053_3391,direction3391,3053,0,shape_3053_3391
3053_3392,direction3392,3053,0,shape_3053_3392
3036_3393,direction3393,3036,0,shape_3036_3393
3036_3394,direction3394,3036,0,shape_3036_3394
3049_3395,direction3395,3049,0,shape_3049_3395
3049_3396,direction3396,3049,0,shape_3049_3396
3019_3397,direction3397,3019,0,shape_3019_3397
3019_3398,direction3398,3019,0,shape_3019_3398
3000_3399,direction3399,3000,0,shape_3000_3399
3000_3400,direction3400,3000,0,shape_3000_3400
3040_3401,direction3401,3040,0,shape_3040_3401
3040_3402,direction3402,3040,0,shape_3040_3402
3052_3403,direction3403,3052,0,shape_3052_3403
3052_3404,direction3404,3052,0,shape_3052_3404
3024_3405,direction3405,3024,0,shape_3024_3405
3024_3406,direction3406,3024,0,shape_3024_3406
3007_3407,direction3407,3007,0,shape_3007_3407
3007_3408,direction3408,3007,0,shape_3007_3408
3030_3409,direction3409,3030,0,shape_3030_3409
3030_3410,direction3410,3030,0,shape_3030_3410
3011_3411,direction3411,3011,0,shape_3011_3411
3032_3412,direction3412,3032,0,shape_3032_3412
3032_3413,direction3413,3032,0,shape_3032_3413
3054_3414,direction3414,3054,0,shape_3054_3414
3043_3415,direction3415,3043,0,shape_3043_3415
3043_3416,direction3416,3043,0,shape_3043_3416
3004_3417,direction3417,3004,0,shape_3004_3417
3004_3418,direction3418,3004,0,shape_3004_3418
3014_3419,direction3419,3014,0,shape_3014_3419
3014_3420,direction3420,3014,0,shape_3014_3420
3046_3421,direction3421,3046,0,shape_3046_3421
3046_3422,direction3422,3046,0,shape_3046_3422
3021_3423,direction3423,3021,0,shape_3021_3423
3021_3424,direction3424,3021,0,shape_3021_3424
3051_3425,direction3425,3051,0,shape_3051_3425
3051_3426,direction3426,3051,0,shape_3051_3426
