trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
2409_4556,05:30:00,05:30:00,29342,1,,,,,
2409_4556,05:31:00,05:31:00,29343,2,,,,214.0,
2409_4556,05:32:00,05:32:00,29344,3,,,,535.0,
2409_4556,05:33:00,05:33:00,29345,4,,,,891.0,
2409_4556,05:34:00,05:34:00,29178,5,,,,1213.0,
2409_4556,05:38:00,05:38:00,28927,6,,,,2336.0,
2409_4556,05:40:00,05:40:00,28433,7,,,,2818.0,
2409_4556,05:42:00,05:42:00,28928,8,,,,3356.0,
2409_4556,05:44:00,05:44:00,28929,9,,,,3811.0,
2409_4556,05:47:00,05:47:00,28930,10,,,,4560.0,
2409_4556,05:49:00,05:49:00,28931,11,,,,5080.0,
2409_4556,05:51:00,05:51:00,28932,12,,,,5613.0,
2409_4556,05:53:00,05:53:00,28668,13,,,,6216.0,
2409_4556,05:55:00,05:55:00,28669,14,,,,6702.0,
2409_4556,05:57:00,05:57:00,28414,15,,,,7150.0,
2409_4556,05:59:00,05:59:00,28415,16,,,,7677.0,
2409_4556,06:02:00,06:02:00,28670,17,,,,8421.0,
2409_4556,06:04:00,06:04:00,29020,18,,,,8922.0,
2409_4556,06:07:00,06:07:00,29021,19,,,,9649.0,
2409_4556,06:09:00,06:09:00,29022,20,,,,10053.0,
2409_4556,06:14:00,06:14:00,28534,21,,,,11230.0,
2409_4556,06:17:00,06:17:00,28535,22,,,,12065.0,
2409_4556,06:20:00,06:20:00,28536,23,,,,12704.0,
2409_4556,06:28:00,06:28:00,28880,24,,,,14662.0,
2409_4556,06:31:00,06:31:00,28881,25,,,,15305.0,
2409_4556,06:32:00,06:32:00,28882,26,,,,15652.0,
2409_4556,06:34:00,06:34:00,28883,27,,,,16110.0,
2409_4556,06:36:00,06:36:00,28884,28,,,,16643.0,
2409_4556,06:38:00,06:38:00,28885,29,,,,17132.0,
2409_4556,06:39:00,06:39:00,28719,30,,,,17484.0,
2409_4556,06:41:00,06:41:00,28720,31,,,,17991.0,
2409_4556,06:42:00,06:42:00,28721,32,,,,18145.0,
2409_4556,06:44:00,06:44:00,28802,33,,,,18670.0,
2409_4556,06:45:00,06:45:00,28803,34,,,,19040.0,
2409_4556,06:47:00,06:47:00,28804,35,,,,19519.0,
2409_4556,06:50:00,06:50:00,28805,36,,,,20223.0,
2409_4556,06:52:00,06:52:00,28806,37,,,,20693.0,
2409_4557,05:30:00,05:30:00,28781,1,,,,,
2409_4557,05:32:00,05:32:00,28782,2,,,,543.0,
2409_4557,05:35:00,05:35:00,28783,3,,,,1206.0,
2409_4557,05:37:00,05:37:00,28784,4,,,,1753.0,
2409_4557,05:38:00,05:38:00,28725,5,,,,2031.0,
2409_4557,05:40:00,05:40:00,28726,6,,,,2471.0,
2409_4557,05:41:00,05:41:00,28727,7,,,,2665.0,
2409_4557,05:42:00,05:42:00,28728,8,,,,2994.0,
