stop_lat,stop_id,stop_lon,stop_name
54.90641,29074,73.3866,ГАИ
54.997727,29668,73.478482,Пожарная часть
54.957908,29140,73.317284,Аэропорт
54.950802,29730,73.44308,ДСК
54.92978,29292,73.290029,Агропром
54.897007,29497,73.306618,Механический завод
55.040941,29209,73.202497,Завод Металлист
55.001169,28440,73.40486,2-я Восточная
55.001209,29363,73.51813,Сады Фантазия
54.92294,29368,73.356455,ДРСУ
54.998399,29674,73.484211,ТЭЦ-5
54.950742,29709,73.443445,ДСК
54.948723,29436,73.173953,Микрорайон Входной
54.993822,29584,73.329655,1-я Рыбачья (по требованию)
54.996746,29585,73.326051,пос. Рыбачий-1
54.998811,29586,73.322264,пос. Рыбачий-2
55.001589,29587,73.317068,пос. Рыбачий-3
54.991652,29589,73.389167,Депутатская (по требованию)
54.994817,29590,73.396225,Школа (ул. Депутатская)
54.995739,29591,73.401799,Трикотажная фабрика
54.958674,29431,73.18712,пос. Приветная
54.958712,29432,73.187466,пос. Приветная
55.042648,29271,73.260801,пос. Ермак
55.022519,29085,73.500664,Поворот (в сторону с/т Проектировщик)
54.883617,29092,73.34611,Поворот (ул. Карьер)
54.885153,29093,73.335739,снт Маяк-2
54.885108,29094,73.335658,снт Маяк-2
54.883524,29095,73.345865,Поворот (ул. Карьер)
55.040338,29342,73.441611,Онкодиспансер
55.038726,29343,73.441086,Онкодиспансер
55.038707,29344,73.436048,Коттеджный поселок
55.038729,29345,73.430456,Спецшкола
55.038834,29178,73.42622,Спецшкола
55.030518,28927,73.416251,Школа №15
55.02696,28433,73.413382,21-я Амурская
55.023393,28928,73.415908,Багратиона
55.021586,28929,73.409499,Магазин Заря
55.023213,28930,73.400782,16-я Амурская (ул. 24-я Северная)
55.023321,28931,73.39262,7-я Амурская
55.023429,28932,73.384258,ПТСК
55.023555,28668,73.3748,24-я Северная (ул. Герцена)
55.023663,28669,73.367184,Орджоникидзе
55.024503,28414,73.360584,25-я Северная
55.024544,28415,73.352609,Мебельная фабрика (ул. 25-я Северная)
55.027187,28670,73.342554,пос. Рабочий
55.028378,29020,73.337023,Агрохимцентр
55.021915,29021,73.33875,Областная больница
55.018329,29022,73.339741,Санаторий Омский
55.01419,28534,73.326849,Дворец творчества
55.017721,28535,73.315308,Аграрный университет
55.021078,28536,73.307181,Телецентр
55.010958,28880,73.293312,Арена-Омск (ул. Лукашевича)
55.006399,28881,73.287108,Заречная
55.003985,28882,73.283658,бульвар Зелёный
55.000686,28883,73.279358,Автовокзал (ул. Лукашевича)
54.996693,28884,73.274734,проспект Комарова (ул. Лукашевича)
54.993003,28885,73.270563,Лукашевича
54.992809,28719,73.266544,Универсам (ул. Дианова)
54.994015,28720,73.259061,Лесной проезд (ул. Дианова)
54.994155,28721,73.256667,ОАЗИС
54.994636,28802,73.248481,Дианова
54.994974,28803,73.242705,Звёздная
