trip_id,trip_headsign,route_id,service_id,shape_id
2409_4556,direction4556,2409,0,shape_2409_4556
2409_4557,direction4557,2409,0,shape_2409_4557
2431_4558,direction4558,2431,0,shape_2431_4558
2431_4559,direction4559,2431,0,shape_2431_4559
2447_4560,direction4560,2447,0,shape_2447_4560
2416_4561,direction4561,2416,0,shape_2416_4561
2416_4562,direction4562,2416,0,shape_2416_4562
2398_4563,direction4563,2398,0,shape_2398_4563
2398_4564,direction4564,2398,0,shape_2398_4564
2467_4565,direction4565,2467,0,shape_2467_4565
2467_4566,direction4566,2467,0,shape_2467_4566
2390_4567,direction4567,2390,0,shape_2390_4567
2390_4568,direction4568,2390,0,shape_2390_4568
2405_4569,direction4569,2405,0,shape_2405_4569
2405_4570,direction4570,2405,0,shape_2405_4570
2381_4571,direction4571,2381,0,shape_2381_4571
2381_4572,direction4572,2381,0,shape_2381_4572
2419_4573,direction4573,2419,0,shape_2419_4573
2419_4574,direction4574,2419,0,shape_2419_4574
2441_4575,direction4575,2441,0,shape_2441_4575
2441_4576,direction4576,2441,0,shape_2441_4576
2364_4577,direction4577,2364,0,shape_2364_4577
2364_4578,direction4578,2364,0,shape_2364_4578
2479_4579,direction4579,2479,0,shape_2479_4579
2479_4580,direction4580,2479,0,shape_2479_4580
2414_4581,direction4581,2414,0,shape_2414_4581
2414_4582,direction4582,2414,0,shape_2414_4582
2400_4583,direction4583,2400,0,shape_2400_4583
2400_4584,direction4584,2400,0,shape_2400_4584
2476_4585,direction4585,2476,0,shape_2476_4585
2476_4586,direction4586,2476,0,shape_2476_4586
2387_4587,direction4587,2387,0,shape_2387_4587
2387_4588,direction4588,2387,0,shape_2387_4588
2463_4589,direction4589,2463,0,shape_2463_4589
2463_4590,direction4590,2463,0,shape_2463_4590
2463_4591,direction4591,2463,0,shape_2463_4591
2480_4592,direction4592,2480,0,shape_2480_4592
2480_4593,direction4593,2480,0,shape_2480_4593
2460_4594,direction4594,2460,0,shape_2460_4594
2460_4595,direction4595,2460,0,shape_2460_4595
2428_4596,direction4596,2428,0,shape_2428_4596
2428_4597,direction4597,2428,0,shape_2428_4597
2472_4598,direction4598,2472,0,shape_2472_4598
2472_4599,direction4599,2472,0,shape_2472_4599
2355_4600,direction4600,2355,0,shape_2355_4600
2355_4601,direction4601,2355,0,shape_2355_4601
2357_4602,direction4602,2357,0,shape_2357_4602
2357_4603,direction4603,2357,0,shape_2357_4603
2388_4604,direction4604,2388,0,shape_2388_4604
2388_4605,direction4605,2388,0,shape_2388_4605
2481_4606,direction4606,2481,0,shape_2481_4606
2481_4607,direction4607,2481,0,shape_2481_4607
2442_4608,direction4608,2442,0,shape_2442_4608
2442_4609,direction4609,2442,0,shape_2442_4609
2392_4610,direction4610,2392,0,shape_2392_4610
2392_4611,direction4611,2392,0,shape_2392_4611
2464_4612,direction4612,2464,0,shape_2464_4612
2437_4613,direction4613,2437,0,shape_2437_4613
2437_4614,direction4614,2437,0,shape_2437_4614
2440_4615,direction4615,2440,0,shape_2440_4615
2440_4616,direction4616,2440,0,shape_2440_4616
2368_4617,direction4617,2368,0,shape_2368_4617
2368_4618,direction4618,2368,0,shape_2368_4618
2452_4619,direction4619,2452,0,shape_2452_4619
2452_4620,direction4620,2452,0,shape_2452_4620
2389_4621,direction4621,2389,0,shape_2389_4621
2389_4622,direction4622,2389,0,shape_2389_4622
2393_4623,direction4623,2393,0,shape_2393_4623
2382_4624,direction4624,2382,0,shape_2382_4624
2382_4625,direction4625,2382,0,shape_2382_4625
2374_4626,direction4626,2374,0,shape_2374_4626
2374_4627,direction4627,2374,0,shape_2374_4627
2446_4628,direction4628,2446,0,shape_2446_4628
2446_4629,direction4629,2446,0,shape_2446_4629
2465_4630,direction4630,2465,0,shape_2465_4630
2465_4631,direction4631,2465,0,shape_2465_4631
2375_4632,direction4632,2375,0,shape_2375_4632
2375_4633,direction4633,2375,0,shape_2375_4633
2372_4634,direction4634,2372,0,shape_2372_4634
2372_4635,direction4635,2372,0,shape_2372_4635
2412_4636,direction4636,2412,0,shape_2412_4636
2412_4637,direction4637,2412,0,shape_2412_4637
2369_4638,direction4638,2369,0,shape_2369_4638
2369_4639,direction4639,2369,0,shape_2369_4639
2426_4640,direction4640,2426,0,shape_2426_4640
2426_4641,direction4641,2426,0,shape_2426_4641
2407_4642,direction4642,2407,0,shape_2407_4642
2407_4643,direction4643,2407,0,shape_2407_4643
2420_4644,direction4644,2420,0,shape_2420_4644
2420_4645,direction4645,2420,0,shape_2420_4645
2438_4646,direction4646,2438,0,shape_2438_4646
2438_4647,direction4647,2438,0,shape_2438_4647
2473_4648,direction4648,2473,0,shape_2473_4648
2473_4649,direction4649,2473,0,shape_2473_4649
2401_4650,direction4650,2401,0,shape_2401_4650
2401_4651,direction4651,2401,0,shape_2401_4651
2468_4652,direction4652,2468,0,shape_2468_4652
2468_4653,direction4653,2468,0,shape_2468_4653
2399_4654,direction4654,2399,0,shape_2399_4654
2399_4655,direction4655,2399,0,shape_2399_4655
2466_4656,direction4656,2466,0,shape_2466_4656
2466_4657,direction4657,2466,0,shape_2466_4657
2386_4658,direction4658,2386,0,shape_2386_4658
2386_4659,direction4659,2386,0,shape_2386_4659
2461_4660,direction4660,2461,0,shape_2461_4660
2461_4661,direction4661,2461,0,shape_2461_4661
2359_4662,direction4662,2359,0,shape_2359_4662
2359_4663,direction4663,2359,0,shape_2359_4663
2365_4664,direction4664,2365,0,shape_2365_4664
2365_4665,direction4665,2365,0,shape_2365_4665
2404_4666,direction4666,2404,0,shape_2404_4666
2404_4667,direction4667,2404,0,shape_2404_4667
2366_4668,direction4668,2366,0,shape_2366_4668
2366_4669,direction4669,2366,0,shape_2366_4669
2413_4670,direction4670,2413,0,shape_2413_4670
2413_4671,direction4671,2413,0,shape_2413_4671
2360_4672,direction4672,2360,0,shape_2360_4672
2360_4673,direction4673,2360,0,shape_2360_4673
2429_4674,direction4674,2429,0,shape_2429_4674
2429_4675,direction4675,2429,0,shape_2429_4675
2396_4676,direction4676,2396,0,shape_2396_4676
2396_4677,direction4677,2396,0,shape_2396_4677
2376_4678,direction4678,2376,0,shape_2376_4678
2376_4679,direction4679,2376,0,shape_2376_4679
2451_4680,direction4680,2451,0,shape_2451_4680
2451_4681,direction4681,2451,0,shape_2451_4681
2384_4682,direction4682,2384,0,shape_2384_4682
2384_4683,direction4683,2384,0,shape_2384_4683
2427_4684,direction4684,2427,0,shape_2427_4684
2427_4685,direction4685,2427,0,shape_2427_4685
2371_4686,direction4686,2371,0,shape_2371_4686
