route_short_name,route_id,agency_id,route_long_name,route_type
А26,2679,,СТЦ Мега - Южная,3
Тм24,2664,,пл. 1 Пятилетки - 7 Ключей,0
А053,2633,,Ползунова - Кирпичный завод (ул. Коммунистическая),3
А9,2657,,Метро Ботаническая - Шабры,3
Тб7,2686,,Посадская - Академическая,3
А043,2661,,Ж/д вокзал - Северка,3
А082,2668,,Кировский оптовый рынок - Уралтехгаз,3
А047,2606,,Громова - Трактовая,3
Тм25,2594,,Керамическая - Фрезеровщиков,0
Тм5,2643,,40 лет ВЛКСМ - пл. 1 Пятилетки,0
А18,2681,,Уральский федеральный университет (ул. Мира) - Академгородок (УНЦ),3
А29,2660,,Трактовая - Станция Кольцово,3
А077,2617,,Высоцкого - Ритейл-парк Солнечный,3
А4,2653,,Уральский федеральный университет - Новосвердловская ТЭЦ,3
Тм17,2572,,Машиностроителей (ул. 22 Партсъезда) - Эльмаш,0
А045,2621,,Ж/д вокзал - НПЦ Онкология,3
А59,2588,,пл. 1 Пятилетки - Окружное кладбище,3
Тм33,2574,,Дворец Спорта - ЦПКиО,0
А54,2582,,Уральский федеральный университет - Краснолесье,3
Тб17,2618,,Калининская - Коммунистическая,3
Тб8,2637,,Коммунистическая - Коммунистическая,3
А11м,2654,,Метро Ботаническая - с. Верхнемакарово,3
А030,2630,,Окраинная - Авангард,3
А61,2580,,40 лет ВЛКСМ (Сибирский тракт) - Пехотинцев,3
А018,2670,,Авангард - 17-я Мехколонна,3
А57а,2652,,2-я Новосибирская - ДМБ №9,3
А016,2624,,Южная подстанция - ТЦ Лента,3
А25,2676,,Высоцкого - Радиоколледж,3
А45,2672,,Восточная - пос. Исток,3
А85,2666,,Институт связи - пос. Медный,3
А01,2629,,Аэропорт Кольцово (из Кольцово) - Ж/д вокзал,3
Тм8,2607,,40 лет ВЛКСМ - Машиностроителей (ул. 22 Партсъезда),0
А012,2586,,Академика Парина - Елизавет,3
А56,2684,,пл. 1 Пятилетки - Центр Культуры (пос. Садовый),3
Тм32,2647,,40 лет ВЛКСМ - Дворец Спорта,0
А95,2642,,Чусовское озеро - Институт связи,3
Тб20,2646,,Ботаническая - Академическая,3
А06,2669,,СТЦ Мега - ДМБ №9,3
А05,2619,,Химмаш - Академика Парина,3
А060,2605,,Кировский оптовый рынок - Парк Победы,3
А63,2584,,СТЦ Мега - Лесное кладбище,3
Тм5А,2590,,пл. 1 Пятилетки - Шарташ,0
А083,2640,,ЖК Светлый - Монтажников (конечная),3
А039,2677,,Метро Ботаническая - Докер,3
А28,2636,,Радиоколледж - Горбольница №7,3
Тб5,2610,,Коммунистическая - ЦПКиО (ул. Щорса),3
Тм23,2575,,40 лет ВЛКСМ - Машиностроителей (ул. 22 Партсъезда),0
