trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
2656_2818,05:30:00,05:30:00,31613,1,,,,,
2656_2818,05:32:00,05:32:00,31614,2,,,,545.0,
2656_2818,05:34:00,05:34:00,31615,3,,,,1119.0,
2656_2818,05:35:00,05:35:00,31616,4,,,,1427.0,
2656_2818,05:36:00,05:36:00,31617,5,,,,1752.0,
2656_2818,05:41:00,05:41:00,31455,6,,,,3018.0,
2656_2818,05:44:00,05:44:00,31456,7,,,,3678.0,
2656_2818,05:45:00,05:45:00,31124,8,,,,3943.0,
2656_2818,05:46:00,05:46:00,31457,9,,,,4243.0,
2656_2818,05:48:00,05:48:00,30790,10,,,,4868.0,
2656_2818,05:49:00,05:49:00,30791,11,,,,5243.0,
2656_2818,05:51:00,05:51:00,30792,12,,,,5715.0,
2656_2818,05:54:00,05:54:00,30793,13,,,,6561.0,
2656_2818,05:56:00,05:56:00,30794,14,,,,7079.0,
2656_2818,05:59:00,05:59:00,30795,15,,,,7902.0,
2656_2818,06:03:00,06:03:00,30796,16,,,,8792.0,
2656_2818,06:06:00,06:06:00,30797,17,,,,9549.0,
2656_2818,06:08:00,06:08:00,30798,18,,,,10055.0,
2656_2818,06:10:00,06:10:00,30799,19,,,,10547.0,
2656_2818,06:12:00,06:12:00,30800,20,,,,11135.0,
2656_2818,06:15:00,06:15:00,30801,21,,,,11806.0,
2656_2818,06:17:00,06:17:00,30802,22,,,,12299.0,
2656_2818,06:20:00,06:20:00,30803,23,,,,12928.0,
2656_2818,06:22:00,06:22:00,31093,24,,,,13474.0,
2656_2818,06:24:00,06:24:00,31094,25,,,,14059.0,
2656_2818,06:31:00,06:31:00,31095,26,,,,15784.0,
2656_2818,06:33:00,06:33:00,31096,27,,,,16391.0,
2656_2818,06:35:00,06:35:00,31097,28,,,,16883.0,
2656_2818,06:36:00,06:36:00,31098,29,,,,17198.0,
2656_2818,06:38:00,06:38:00,31303,30,,,,17622.0,
2656_2818,06:41:00,06:41:00,31618,31,,,,18378.0,
2656_2818,06:44:00,06:44:00,31619,32,,,,19136.0,
