stop_lat,stop_id,stop_lon,stop_name
56.823866,31613,60.674798,Синие Камни
56.81154,31388,60.542588,АТП
56.782636,31804,60.520435,ЖК Аксиома
56.787286,31412,60.783054,Эстонская
56.789578,31413,60.775396,Клуб
56.793997,31414,60.773734,Белоярская
56.797535,31171,60.611838,Фучика
56.844809,31601,60.704327,пос. Пески
56.762412,31705,60.572552,Ротная
56.828015,30721,60.693449,ЖБИ
56.828671,31727,60.66331,Парфюмерная фабрика
56.637851,105857,60.591418,Шабры
56.887611,31687,60.606941,Кузнецова
56.831127,31781,60.443466,Стрельбище Динамо
56.882811,31698,60.536536,Уралтехгаз
56.82603,31295,60.592872,Сакко и Ванцетти (ул. Куйбышева)
56.834897,31296,60.591801,Попова
56.7978,31169,60.561767,Онуфриева (ул. Громова)
56.816616,31545,60.426748,5-й км Чусовского тракта
56.890485,30494,60.633487,Краснофлотцев
56.892083,30495,60.638161,Шефская (ул. Краснофлотцев)
56.842324,30791,60.637879,Автомобильный колледж
56.746605,31623,60.566153,Счастливая
56.83085,31662,60.637096,Шарташский рынок
56.828585,31663,60.647731,Станция Шарташ
56.781282,31844,60.654457,Щербакова
56.780325,31845,60.648376,Лыжников
56.776652,31846,60.639186,Детский сад
56.776928,31847,60.639901,Детский сад
56.780399,31848,60.65149,Лыжников
56.825921,31614,60.680855,Есенина
56.828682,31616,60.668625,Гимназия Корифей
56.828791,31617,60.664242,Байкальская
56.832514,31455,60.654782,Уралобувь
56.838335,31456,60.652633,Мира (УПИ)
56.840675,31124,60.651769,Профессорская
56.843323,31457,60.650791,Уральский федеральный университет (ул. Мира)
56.843004,30790,60.643912,Уральский федеральный университет
56.841525,30792,60.630268,Восточная
56.84004,30793,60.616707,Оперный театр
56.839021,30794,60.608429,пл. Труда
56.836052,30795,60.59925,Метро Площадь 1905 года
56.828173,30796,60.601788,ТРЦ Гринвич
56.821809,30797,60.605122,Академия при Президенте РФ
56.817353,30798,60.606804,Большакова
56.813012,30799,60.608356,Фрунзе (ул. 8 Марта)
56.808476,30800,60.608465,Автовокзал
56.80738,30801,60.597622,Серова (ул. Щорса)
56.805743,30802,60.590584,Шаумяна
56.801077,30803,60.584757,Волгоградская (ул. Амундсена)
56.797022,31093,60.579691,Амундсена
56.792683,31094,60.574272,Онуфриева (ул. Амундсена)
56.779848,31095,60.558403,Академика Вонсовского
56.77599,31096,60.551353,Рабочая
56.772865,31097,60.545642,Лесная (по требованию)
56.770853,31098,60.54307,ТК Академический
56.768054,31303,60.547792,УНЦ микрорайон
56.765146,31618,60.555905,Патра
56.76266,31619,60.566596,Городская
56.760025,31620,60.565697,Дом Культуры (пос. Совхозный)
56.748383,31621,60.568399,Чемпионов
56.74622,31622,60.565341,Счастливая
56.744544,30880,60.568886,Солнечный микрорайон
56.76828,31059,60.547614,УНЦ микрорайон
56.771383,31060,60.543164,ТК Академический
56.773319,31061,60.546702,Лесная (по требованию)
56.776595,31062,60.552689,Рабочая
56.779268,31063,60.557574,Академика Вонсовского
56.793116,31064,60.575012,Онуфриева (ул. Амундсена)
56.797733,30827,60.580777,Амундсена
56.806872,30829,60.593487,Шаумяна
56.807449,30830,60.599203,Серова (ул. Щорса)
56.809537,30831,60.609771,Автовокзал
56.81417,30832,60.608102,Фрунзе (ул. 8 Марта)
56.818104,30833,60.606709,Большакова
56.826033,30834,60.603717,Цирк
56.836471,30835,60.599524,Метро Площадь 1905 года
56.837859,30836,60.600285,Колледж им. Ползунова
56.838782,30837,60.608764,пл. Труда
56.839842,30838,60.618843,Оперный театр
56.841194,30839,60.63036,Восточная
56.842012,30840,60.637092,Автомобильный колледж
56.842604,31626,60.645429,Уральский федеральный университет (ул. Гагарина)
56.839896,31453,60.651569,Профессорская
56.83426,31454,60.653653,Педагогическая (ул. Мира)
56.831751,31627,60.656353,Уралобувь
56.830136,31628,60.663544,Парфюмерная фабрика
56.828856,31629,60.664401,Байкальская
56.828333,31630,60.670003,Гимназия Корифей
56.828086,31631,60.674469,Бычковой
56.8252,31632,60.680666,Есенина
56.823808,31633,60.675093,Синие Камни
56.825231,31248,60.644903,ДК Гагарина
56.82613,31249,60.636864,Сибирский тракт
56.824842,31250,60.625331,Луначарского
56.823982,31251,60.617354,Белинского (ул. Декабристов)
56.815515,31297,60.605807,8 Марта (ул. Фурманова)
56.814653,31298,60.595784,Серова (ул. Фурманова)
56.813973,31299,60.588733,Московская (ул. Фурманова)
56.81111,31300,60.579669,Чкалова (ул. Шаумяна)
56.809007,31301,60.585231,Хасановская
56.806109,31755,60.592489,Шаумяна
56.803646,31756,60.593337,Циолковского
56.799227,31757,60.59381,Николая Островского
56.797838,30804,60.579249,Амундсена
56.7999,30805,60.573764,Решетникова
56.802421,30806,60.567055,Чкалова
56.80377,30807,60.563466,Бардина
56.806557,30808,60.556052,Ясная
56.809375,30809,60.548553,Микрохирургия глаза
56.811356,31394,60.543276,АТП
56.817404,31758,60.542137,Ухтомская
56.818946,31386,60.537615,Новомосковская
56.81759,31406,60.532922,Отрадная
56.816745,30862,60.522022,Контрольная
56.813369,30890,60.517086,Кольцевая дорога
56.822612,30859,60.502668,СТЦ Мега
56.821308,30860,60.500824,Лесхоз
56.817113,30861,60.50977,Сад Юг
56.816153,31409,60.523236,Контрольная
56.817373,31410,60.532143,Отрадная
56.813813,31387,60.53653,Зоологическая
56.809161,30822,60.548921,Микрохирургия глаза
56.806391,30823,60.556292,Ясная
56.804691,30824,60.560813,Бардина
56.802811,31746,60.562989,Бардина
56.798365,31209,60.557516,Громова
56.79846,31747,60.560916,Областной рынок на Громова
56.798233,31170,60.562448,Онуфриева (ул. Громова)
56.801902,30825,60.568234,Чкалова
56.799266,30826,60.575249,Решетникова
56.800958,31748,60.588004,Волгоградская (ул. Амундсена)
56.799584,31749,60.594852,Николая Островского
56.804197,31750,60.593264,Циолковского
56.807322,31291,60.59219,Шаумяна
56.814302,31292,60.592767,Московская (ул. Фурманова)
56.815193,31751,60.603109,Облсобес (ул. Фурманова)
56.817904,31752,60.607937,Большакова
56.818622,31753,60.61423,Музей Бажова
56.824096,31754,60.619,Белинского (ул. Декабристов)
56.824947,31214,60.626902,Луначарского
56.82495,31215,60.645924,ДК Гагарина
56.893757,31426,60.484772,ДМБ №9
56.89073,31428,60.48803,Белякова
56.887112,31429,60.490584,Матросская
56.884859,31430,60.498304,Трамвайное кольцо
56.888524,31431,60.503473,Ангарская
56.888796,30475,60.506629,Хладокомбинат №3
56.88483,30476,60.510208,Торговый центр
56.880628,30477,60.517214,Расточная (ул. Билимбаевская)
56.878396,30478,60.514143,Кунарская
56.870841,30479,60.520785,Ватутина
56.866151,30480,60.53209,Техническая
56.864099,30481,60.537928,ДК ВОС
56.862997,30482,60.541161,Теплоходный проезд
56.860492,30745,60.549023,Таганский ряд
56.855398,31082,60.552795,Заречный (ул. Бебеля)
56.854269,31083,60.561006,Бебеля (ул. Опалихинская)
56.850796,31084,60.563598,Опалихинская
56.847852,31085,60.565286,Готвальда
56.839643,31432,60.570393,Крылова
56.836119,30925,60.583363,пл. Коммунаров
56.837336,30926,60.595501,пл. 1905 года
56.776543,31150,60.551724,Рабочая
56.779775,31151,60.54585,Полянка
56.784248,30817,60.537731,Барвинка
56.788568,31152,60.529954,Двинская
56.793489,31389,60.521219,Академический микрорайон
56.795696,31390,60.517236,Очеретина
56.797767,31112,60.512647,Рябинина
56.794054,31113,60.505813,Павла Шаманова (ул. Рябинина)
56.792515,31391,60.502675,ТЦ Лента
56.79454,31154,60.5068,Павла Шаманова (ул. Рябинина)
56.797572,31392,60.51339,Рябинина
56.795437,31393,60.517243,Очеретина
56.792712,31115,60.522143,Академический микрорайон
56.788054,30813,60.530419,Двинская
56.785059,30814,60.535811,Барвинка
56.782674,30815,60.540116,Чкалова-Краснолесья
56.780939,30816,60.543101,Краснолесье
56.779145,31116,60.546532,Полянка
56.83601,30949,60.599681,Метро Площадь 1905 года
56.837601,30950,60.595386,пл. 1905 года
56.837167,30951,60.590385,Маршала Жукова
56.836265,30952,60.580846,пл. Коммунаров
56.839631,31420,60.571024,Крылова
56.846935,31070,60.562668,Готвальда
56.84998,31071,60.564419,Опалихинская
56.854359,31072,60.55945,Бебеля (ул. Опалихинская)
56.855247,31073,60.553118,Заречный (ул. Бебеля)
56.861146,30465,60.547837,Таганский ряд
56.864557,30466,60.53692,ДК ВОС
56.865875,30467,60.533145,Техническая
56.872298,30468,60.520058,Ватутина
56.874609,30469,60.517052,Маневровая
56.87896,30470,60.51506,Кунарская
56.881612,30471,60.517493,Билимбаевская
56.884066,30472,60.512177,Торговый центр
56.889003,30473,60.506822,Хладокомбинат №3
56.884501,31423,60.49772,Трамвайное кольцо
56.887905,31424,60.489751,Матросская
56.892388,31425,60.488465,Белякова
56.910661,31427,60.487377,пос. Шувакиш
56.760183,31256,60.82041,Станция Кольцово
56.756944,31257,60.819016,Авиагородок
56.778685,31262,60.789807,Сад Рябинушка
56.783361,31232,60.781227,Октябрьская
56.785456,31233,60.773733,14-й км
56.786276,31234,60.767775,13-й км
56.786289,31235,60.752189,12-й км
56.78477,31236,60.737253,Птицефабрика
56.789475,31237,60.729577,11-й км
56.795143,31238,60.726449,10-й км
56.800061,31239,60.727164,Станция Лечебная
56.806105,31240,60.722312,пос. Чапаева
56.809813,31241,60.714395,Тубсанаторий (Сибирский тракт)
56.810968,31242,60.707118,Психбольница
56.812795,31243,60.693208,Станция Путёвка
56.816235,31244,60.680608,Каменный карьер
56.818375,31245,60.6684,Лесопарк
56.821254,31246,60.660929,Лесотехнический университет
56.824173,31247,60.657275,Комсомольская (ул. Куйбышева)
56.824552,31009,60.617898,Декабристов (ул. Белинского)
56.827826,31010,60.616767,Куйбышева (ул. Белинского)
56.831328,31011,60.615903,Карла Маркса (ул. Белинского)
56.834629,31012,60.614351,Библиотека Белинского
56.836279,30732,60.612628,Проспект Ленина (ул. Карла Либкнехта)
56.840343,30733,60.611198,Архитектурная академия
56.8471,30734,60.609288,ТЮЗ
56.849654,30735,60.606341,Дом Музыки
56.857947,31015,60.606765,Ж/д вокзал
56.857116,31263,60.605508,Ж/д вокзал
56.853483,30751,60.604651,Азина
56.850748,30752,60.605502,Дом Музыки
56.847049,30753,60.609019,ТЮЗ
56.842553,31264,60.61017,Филармония
56.841019,30754,60.610687,Архитектурная академия
56.83787,30755,60.611691,Проспект Ленина (ул. Карла Либкнехта)
56.836128,30756,60.621002,Дом Кино
56.828129,31213,60.624909,Телестудия
56.821012,31216,60.661332,Лесотехнический университет
56.817434,31217,60.671393,Лесопарк
56.815845,31218,60.681542,Каменный карьер
56.81276,31219,60.694221,Станция Путёвка
56.810754,31220,60.708076,Психбольница
56.809459,31221,60.715641,Тубсанаторий (Сибирский тракт)
56.805574,31222,60.722692,пос. Чапаева
56.784381,31226,60.73854,Птицефабрика
56.786416,31227,60.753256,12-й км
56.786213,31228,60.767775,13-й км
56.784959,31229,60.775026,14-й км
56.783255,31230,60.781782,Октябрьская
56.77875,31265,60.789471,Сад Рябинушка
56.772658,31266,60.790616,Сады (ул. Сибирский тракт)
56.767669,31267,60.789236,Сад Авиатор-5
56.750738,31268,60.801131,Аэропорт Кольцово (в сторону Кольцово)
56.752024,31269,60.816002,Бахчиванджи
56.757497,31270,60.819307,Авиагородок
56.760115,31271,60.820364,Станция Кольцово
56.839386,30728,60.643327,Гагарина
56.838649,30729,60.636832,Генеральская
56.835372,31379,60.634205,Энгельса
56.830414,31380,60.636106,Шарташский рынок
56.82287,31019,60.611377,Чапаева (ул. Декабристов)
56.818496,31801,60.612274,Музей Бажова
56.817223,31506,60.603811,Аэроагентство
56.816126,31293,60.59043,Дворец Спорта
56.818025,31507,60.58429,ТРЦ ФанФан
56.820827,31508,60.576624,Посадская
56.820982,31149,60.568411,Белореченская
56.816524,31091,60.563122,ТЦ Буревестник
56.811678,31092,60.559481,Медгородок
56.8073,30810,60.542386,Горбольница №6
56.793054,30811,60.521147,Академический микрорайон
56.789446,30956,60.51445,Павла Шаманова
56.787161,31802,60.512296,Вильгельма де Геннина
56.785136,31803,60.515938,Преображенский парк
56.780009,31805,60.525156,Европейский микрорайон
56.777639,31806,60.529438,Преображенский квартал
56.774017,31807,60.53631,ЖК Сахаров
56.766353,31302,60.550009,Академгородок (УНЦ)
56.77133,31808,60.542287,ТК Академический
56.774468,31809,60.535985,ЖК Сахаров
56.778206,31810,60.528902,Преображенский квартал
56.78035,31811,60.525048,Европейский микрорайон
56.78333,31812,60.519689,ЖК Аксиома
56.785557,31813,60.515682,Преображенский парк
56.789664,30819,60.515368,Павла Шаманова
56.793278,30820,60.522077,Академический микрорайон
56.808117,30821,60.544418,Горбольница №6
56.80592,31065,60.559507,Ясная
56.811891,31066,60.559116,Медгородок
56.818011,31117,60.565,ТЦ Буревестник
56.821607,31118,60.569367,Белореченская
56.818005,31514,60.582913,ТРЦ ФанФан
56.827004,31375,60.637666,Сибирский тракт
56.82911,31376,60.636807,Шарташский рынок
56.834099,31377,60.634861,Центр Восточный
56.838678,30758,60.638461,Генеральская
56.839333,30759,60.644233,Гагарина
56.779329,31664,60.795384,Трактовая
56.780908,31411,60.79011,Поворот на УКЗ
56.796248,31415,60.768183,Латвийская
56.79775,31416,60.763669,Компрессорный микрорайон
56.797407,31400,60.764292,Компрессорный микрорайон
56.793382,31401,60.769523,Стадион
56.789353,31402,60.775598,Клуб
56.786407,31403,60.78293,Эстонская
56.862121,30710,60.663852,Сахалинская
56.858518,30711,60.656338,Студенческая (ул. Блюхера)
56.856259,30712,60.651599,ТЦ Современник
56.853584,30713,60.645916,Мира
56.851562,30530,60.6405,Блюхера
56.854088,30531,60.636464,Советская (ул. Уральская)
56.857551,30532,60.630932,Учителей (ул. Уральская)
56.859922,30533,60.627142,Кондукторская
56.859105,30534,60.620558,Пионерская
56.856344,30606,60.6145,Челюскинцев
56.85155,30607,60.616178,Протезно-ортопедическое предприятие
56.848956,30608,60.617086,Шевченко
56.845673,30609,60.618235,Шарташская
56.840973,30610,60.620069,Гостиница Исеть
56.836669,31040,60.621727,Дом Кино
56.828862,30506,60.624682,Дом художника
56.824552,30507,60.626383,Декабристов (ул. Луначарского)
56.822639,30508,60.629494,пл. Обороны
56.82279,30509,60.6359,Тверитина
56.818676,30510,60.638708,ЦПКиО
56.822939,30511,60.63591,Тверитина
56.822653,30512,60.629293,пл. Обороны
56.824639,30513,60.626416,Декабристов (ул. Луначарского)
56.830131,30841,60.624268,Дом художника
56.836037,30842,60.622033,Дом Кино
56.83968,30843,60.620654,Киностудия
56.841969,30570,60.619734,Гостиница Исеть
56.845241,30571,60.618453,Шарташская
56.848641,30572,60.617263,Шевченко
56.851123,30573,60.616394,Протезно-ортопедическое предприятие
56.856555,30574,60.614492,Челюскинцев
56.859159,30575,60.620762,Пионерская
56.86004,30576,60.626866,Кондукторская
56.857994,30577,60.630137,Учителей (ул. Уральская)
56.854411,30578,60.635861,Советская (ул. Уральская)
56.851799,30714,60.642362,Блюхера
56.853207,30715,60.645252,Мира
56.856071,30716,60.651321,ТЦ Современник
56.858088,30717,60.655574,Студенческая (ул. Блюхера)
56.861823,30718,60.663358,Сахалинская
56.864131,30719,60.668805,Шарташ
56.775465,31005,60.624103,Табачная фабрика
56.776969,30652,60.626487,Южный проезд
56.781614,30653,60.631502,Кварцевая
56.789843,30655,60.640392,Самолётная
56.792688,30945,60.642983,Самолётная (ул. Щербакова)
56.798001,30707,60.633538,Шварца
56.801295,30946,60.629648,Саввы Белых
56.805389,30947,60.625515,Авиационная
56.810833,31006,60.622761,Щорса
56.814887,31007,60.621344,Фрунзе (ул. Белинского)
56.818789,31008,60.61996,Большакова (ул. Белинского)
56.855644,31013,60.604262,ДК железнодорожников
56.857236,31014,60.606812,Ж/д вокзал
56.834498,31016,60.6121,Центральная гостиница (ул. Розы Люксембург)
56.831571,31017,60.613166,Федерация профсоюзов (ул. Розы Люксембург)
56.827962,31018,60.613648,Куйбышева (ул. Розы Люксембург)
56.81823,31020,60.613162,Музей Бажова
56.814523,31021,60.614583,Трамвайный парк (ул. Чапаева)
56.813938,31022,60.621514,Фрунзе (ул. Белинского)
56.809423,30928,60.623117,Щорса
56.804877,30929,60.625804,Авиационная
56.800453,30930,60.630113,Саввы Белых
56.797216,30931,60.635794,Шварца
56.791752,30689,60.642363,Самолётная
56.78637,30690,60.636507,Межевая
56.783739,30691,60.633665,Павлодарская
56.781162,30692,60.630881,Кварцевая
56.777339,30693,60.626753,Южный проезд
56.866631,31442,60.643171,Горбольница №7
56.863403,31443,60.653014,Данилы Зверева
56.860985,31131,60.651974,Данилы Зверева (ул. Сулимова)
56.861885,31133,60.63821,Менделеева
56.862383,31324,60.631647,Парк Хаус
56.861085,31331,60.624005,Уральская (ул. Смазчиков)
56.858941,31332,60.619756,Пионерская
56.857001,31280,60.608174,Ж/д вокзал
56.83127,30953,60.575728,Центральный стадион
56.828919,31147,60.569665,Институт связи
56.823047,31385,60.54714,Начдива Васильева
56.811757,30863,60.51191,Анатолия Муранова
56.810191,30864,60.507107,Госпиталь ВОВ
56.809068,30865,60.499422,Клеверный пер.
56.804839,30866,60.494612,Ледовый дворец
56.800672,30867,60.494244,пос. Светлореченский
56.797861,31407,60.488336,Широкая речка
56.79774,31408,60.488455,Широкая речка
56.800012,30885,60.4947,пос. Светлореченский
56.806392,30886,60.495743,Ледовый дворец
56.809064,30887,60.499843,Клеверный пер.
56.810873,30888,60.509245,Госпиталь ВОВ
56.811991,30889,60.513134,Анатолия Муранова
56.819273,31395,60.538963,Новомосковская
56.823567,31396,60.547873,Начдива Васильева
56.825069,31503,60.551287,Репина
56.829784,30923,60.572365,Институт связи
