trip_headsign,service_id,route_id,trip_id,shape_id
direction2818,0,2656,2656_2818,shape_2656_2818
direction2819,0,2656,2656_2819,shape_2656_2819
direction2820,0,2673,2673_2820,shape_2673_2820
direction2821,0,2673,2673_2821,shape_2673_2821
direction2822,0,2628,2628_2822,shape_2628_2822
direction2823,0,2628,2628_2823,shape_2628_2823
direction2824,0,2609,2609_2824,shape_2609_2824
direction2825,0,2609,2609_2825,shape_2609_2825
direction2826,0,2681,2681_2826,shape_2681_2826
direction2827,0,2681,2681_2827,shape_2681_2827
direction2828,0,2660,2660_2828,shape_2660_2828
direction2829,0,2660,2660_2829,shape_2660_2829
direction2830,0,2601,2601_2830,shape_2601_2830
direction2831,0,2601,2601_2831,shape_2601_2831
direction2832,0,2593,2593_2832,shape_2593_2832
direction2833,0,2593,2593_2833,shape_2593_2833
direction2834,0,2639,2639_2834,shape_2639_2834
direction2835,0,2639,2639_2835,shape_2639_2835
direction2836,0,2591,2591_2836,shape_2591_2836
direction2837,0,2591,2591_2837,shape_2591_2837
direction2838,0,2631,2631_2838,shape_2631_2838
direction2839,0,2631,2631_2839,shape_2631_2839
direction2840,0,2623,2623_2840,shape_2623_2840
direction2841,0,2623,2623_2841,shape_2623_2841
direction2842,0,2655,2655_2842,shape_2655_2842
direction2843,0,2655,2655_2843,shape_2655_2843
direction2844,0,2576,2576_2844,shape_2576_2844
direction2845,0,2576,2576_2845,shape_2576_2845
direction2846,0,2645,2645_2846,shape_2645_2846
direction2847,0,2645,2645_2847,shape_2645_2847
direction2848,0,2690,2690_2848,shape_2690_2848
direction2849,0,2690,2690_2849,shape_2690_2849
direction2850,0,2595,2595_2850,shape_2595_2850
direction2851,0,2595,2595_2851,shape_2595_2851
direction2852,0,2627,2627_2852,shape_2627_2852
direction2853,0,2627,2627_2853,shape_2627_2853
direction2854,0,2627,2627_2854,shape_2627_2854
direction2855,0,2663,2663_2855,shape_2663_2855
direction2856,0,2663,2663_2856,shape_2663_2856
direction2857,0,2583,2583_2857,shape_2583_2857
direction2858,0,2603,2603_2858,shape_2603_2858
direction2859,0,2603,2603_2859,shape_2603_2859
direction2860,0,2617,2617_2860,shape_2617_2860
direction2861,0,2617,2617_2861,shape_2617_2861
direction2862,0,2653,2653_2862,shape_2653_2862
direction2863,0,2653,2653_2863,shape_2653_2863
direction2864,0,2572,2572_2864,shape_2572_2864
direction2865,0,2572,2572_2865,shape_2572_2865
direction2866,0,2621,2621_2866,shape_2621_2866
direction2867,0,2621,2621_2867,shape_2621_2867
direction2868,0,2588,2588_2868,shape_2588_2868
direction2869,0,2588,2588_2869,shape_2588_2869
direction2870,0,2679,2679_2870,shape_2679_2870
direction2871,0,2679,2679_2871,shape_2679_2871
direction2872,0,2574,2574_2872,shape_2574_2872
direction2873,0,2574,2574_2873,shape_2574_2873
direction2874,0,2582,2582_2874,shape_2582_2874
direction2875,0,2582,2582_2875,shape_2582_2875
direction2876,0,2618,2618_2876,shape_2618_2876
direction2877,0,2618,2618_2877,shape_2618_2877
direction2878,0,2637,2637_2878,shape_2637_2878
direction2879,0,2654,2654_2879,shape_2654_2879
direction2880,0,2654,2654_2880,shape_2654_2880
direction2881,0,2633,2633_2881,shape_2633_2881
direction2882,0,2633,2633_2882,shape_2633_2882
direction2883,0,2630,2630_2883,shape_2630_2883
direction2884,0,2630,2630_2884,shape_2630_2884
direction2885,0,2580,2580_2885,shape_2580_2885
direction2886,0,2580,2580_2886,shape_2580_2886
direction2887,0,2670,2670_2887,shape_2670_2887
direction2888,0,2670,2670_2888,shape_2670_2888
direction2889,0,2652,2652_2889,shape_2652_2889
direction2890,0,2652,2652_2890,shape_2652_2890
direction2891,0,2624,2624_2891,shape_2624_2891
direction2892,0,2624,2624_2892,shape_2624_2892
direction2893,0,2676,2676_2893,shape_2676_2893
direction2894,0,2676,2676_2894,shape_2676_2894
direction2895,0,2676,2676_2895,shape_2676_2895
direction2896,0,2676,2676_2896,shape_2676_2896
direction2897,0,2676,2676_2897,shape_2676_2897
direction2898,0,2676,2676_2898,shape_2676_2898
direction2899,0,2676,2676_2899,shape_2676_2899
direction2900,0,2676,2676_2900,shape_2676_2900
direction2901,0,2608,2608_2901,shape_2608_2901
direction2902,0,2608,2608_2902,shape_2608_2902
direction2903,0,2613,2613_2903,shape_2613_2903
direction2904,0,2672,2672_2904,shape_2672_2904
direction2905,0,2672,2672_2905,shape_2672_2905
direction2906,0,2666,2666_2906,shape_2666_2906
direction2907,0,2666,2666_2907,shape_2666_2907
direction2908,0,2629,2629_2908,shape_2629_2908
direction2909,0,2629,2629_2909,shape_2629_2909
direction2910,0,2607,2607_2910,shape_2607_2910
direction2911,0,2607,2607_2911,shape_2607_2911
direction2912,0,2586,2586_2912,shape_2586_2912
direction2913,0,2586,2586_2913,shape_2586_2913
direction2914,0,2657,2657_2914,shape_2657_2914
direction2915,0,2657,2657_2915,shape_2657_2915
direction2916,0,2657,2657_2916,shape_2657_2916
direction2917,0,2657,2657_2917,shape_2657_2917
direction2918,0,2686,2686_2918,shape_2686_2918
direction2919,0,2686,2686_2919,shape_2686_2919
direction2920,0,2684,2684_2920,shape_2684_2920
direction2921,0,2684,2684_2921,shape_2684_2921
direction2922,0,2647,2647_2922,shape_2647_2922
direction2923,0,2647,2647_2923,shape_2647_2923
direction2924,0,2642,2642_2924,shape_2642_2924
direction2925,0,2642,2642_2925,shape_2642_2925
direction2926,0,2646,2646_2926,shape_2646_2926
direction2927,0,2646,2646_2927,shape_2646_2927
direction2928,0,2669,2669_2928,shape_2669_2928
direction2929,0,2669,2669_2929,shape_2669_2929
direction2930,0,2619,2619_2930,shape_2619_2930
direction2931,0,2619,2619_2931,shape_2619_2931
direction2932,0,2641,2641_2932,shape_2641_2932
direction2933,0,2626,2626_2933,shape_2626_2933
direction2934,0,2626,2626_2934,shape_2626_2934
direction2935,0,2592,2592_2935,shape_2592_2935
direction2936,0,2664,2664_2936,shape_2664_2936
direction2937,0,2664,2664_2937,shape_2664_2937
direction2938,0,2622,2622_2938,shape_2622_2938
direction2939,0,2622,2622_2939,shape_2622_2939
direction2940,0,2658,2658_2940,shape_2658_2940
direction2941,0,2658,2658_2941,shape_2658_2941
direction2942,0,2671,2671_2942,shape_2671_2942
direction2943,0,2671,2671_2943,shape_2671_2943
direction2944,0,2665,2665_2944,shape_2665_2944
direction2945,0,2665,2665_2945,shape_2665_2945
direction2946,0,2605,2605_2946,shape_2605_2946
direction2947,0,2605,2605_2947,shape_2605_2947
direction2948,0,2584,2584_2948,shape_2584_2948
direction2949,0,2584,2584_2949,shape_2584_2949
direction2950,0,2590,2590_2950,shape_2590_2950
direction2951,0,2590,2590_2951,shape_2590_2951
direction2952,0,2640,2640_2952,shape_2640_2952
direction2953,0,2640,2640_2953,shape_2640_2953
direction2954,0,2611,2611_2954,shape_2611_2954
direction2955,0,2677,2677_2955,shape_2677_2955
direction2956,0,2677,2677_2956,shape_2677_2956
direction2957,0,2636,2636_2957,shape_2636_2957
direction2958,0,2636,2636_2958,shape_2636_2958
direction2959,0,2610,2610_2959,shape_2610_2959
direction2960,0,2610,2610_2960,shape_2610_2960
direction2961,0,2675,2675_2961,shape_2675_2961
direction2962,0,2675,2675_2962,shape_2675_2962
direction2963,0,2575,2575_2963,shape_2575_2963
direction2964,0,2575,2575_2964,shape_2575_2964
direction2965,0,2599,2599_2965,shape_2599_2965
direction2966,0,2599,2599_2966,shape_2599_2966
direction2967,0,2615,2615_2967,shape_2615_2967
direction2968,0,2615,2615_2968,shape_2615_2968
direction2969,0,2596,2596_2969,shape_2596_2969
direction2970,0,2596,2596_2970,shape_2596_2970
direction2971,0,2634,2634_2971,shape_2634_2971
direction2972,0,2634,2634_2972,shape_2634_2972
direction2973,0,2688,2688_2973,shape_2688_2973
direction2974,0,2688,2688_2974,shape_2688_2974
direction2975,0,2587,2587_2975,shape_2587_2975
direction2976,0,2587,2587_2976,shape_2587_2976
direction2977,0,2687,2687_2977,shape_2687_2977
direction2978,0,2687,2687_2978,shape_2687_2978
direction2979,0,2625,2625_2979,shape_2625_2979
direction2980,0,2625,2625_2980,shape_2625_2980
direction2981,0,2661,2661_2981,shape_2661_2981
direction2982,0,2661,2661_2982,shape_2661_2982
direction2983,0,2579,2579_2983,shape_2579_2983
direction2984,0,2579,2579_2984,shape_2579_2984
direction2985,0,2683,2683_2985,shape_2683_2985
direction2986,0,2683,2683_2986,shape_2683_2986
direction2987,0,2644,2644_2987,shape_2644_2987
direction2988,0,2644,2644_2988,shape_2644_2988
direction2989,0,2573,2573_2989,shape_2573_2989
direction2990,0,2573,2573_2990,shape_2573_2990
direction2991,0,2674,2674_2991,shape_2674_2991
direction2992,0,2674,2674_2992,shape_2674_2992
direction2993,0,2600,2600_2993,shape_2600_2993
direction2994,0,2600,2600_2994,shape_2600_2994
direction2995,0,2581,2581_2995,shape_2581_2995
direction2996,0,2581,2581_2996,shape_2581_2996
direction2997,0,2651,2651_2997,shape_2651_2997
direction2998,0,2651,2651_2998,shape_2651_2998
direction2999,0,2632,2632_2999,shape_2632_2999
direction3000,0,2632,2632_3000,shape_2632_3000
direction3001,0,2682,2682_3001,shape_2682_3001
direction3002,0,2682,2682_3002,shape_2682_3002
direction3003,0,2638,2638_3003,shape_2638_3003
direction3004,0,2638,2638_3004,shape_2638_3004
direction3005,0,2678,2678_3005,shape_2678_3005
direction3006,0,2678,2678_3006,shape_2678_3006
direction3007,0,2577,2577_3007,shape_2577_3007
direction3008,0,2577,2577_3008,shape_2577_3008
direction3009,0,2685,2685_3009,shape_2685_3009
direction3010,0,2685,2685_3010,shape_2685_3010
direction3011,0,2649,2649_3011,shape_2649_3011
direction3012,0,2649,2649_3012,shape_2649_3012
direction3013,0,2648,2648_3013,shape_2648_3013
direction3014,0,2648,2648_3014,shape_2648_3014
direction3015,0,2616,2616_3015,shape_2616_3015
direction3016,0,2616,2616_3016,shape_2616_3016
direction3017,0,2662,2662_3017,shape_2662_3017
direction3018,0,2662,2662_3018,shape_2662_3018
direction3019,0,2620,2620_3019,shape_2620_3019
direction3020,0,2620,2620_3020,shape_2620_3020
direction3021,0,2614,2614_3021,shape_2614_3021
direction3022,0,2614,2614_3022,shape_2614_3022
direction3023,0,2597,2597_3023,shape_2597_3023
direction3024,0,2597,2597_3024,shape_2597_3024
direction3025,0,2635,2635_3025,shape_2635_3025
direction3026,0,2635,2635_3026,shape_2635_3026
direction3027,0,2668,2668_3027,shape_2668_3027
direction3028,0,2668,2668_3028,shape_2668_3028
direction3029,0,2606,2606_3029,shape_2606_3029
direction3030,0,2606,2606_3030,shape_2606_3030
direction3031,0,2594,2594_3031,shape_2594_3031
direction3032,0,2594,2594_3032,shape_2594_3032
direction3033,0,2643,2643_3033,shape_2643_3033
direction3034,0,2643,2643_3034,shape_2643_3034
direction3035,0,2589,2589_3035,shape_2589_3035
direction3036,0,2589,2589_3036,shape_2589_3036
direction3037,0,2604,2604_3037,shape_2604_3037
direction3038,0,2604,2604_3038,shape_2604_3038
direction3039,0,2578,2578_3039,shape_2578_3039
direction3040,0,2578,2578_3040,shape_2578_3040
direction3041,0,2612,2612_3041,shape_2612_3041
direction3042,0,2612,2612_3042,shape_2612_3042
direction3043,0,2602,2602_3043,shape_2602_3043
direction3044,0,2602,2602_3044,shape_2602_3044
direction3045,0,2650,2650_3045,shape_2650_3045
direction3046,0,2650,2650_3046,shape_2650_3046
direction3047,0,2667,2667_3047,shape_2667_3047
direction3048,0,2667,2667_3048,shape_2667_3048
direction3049,0,2585,2585_3049,shape_2585_3049
direction3050,0,2585,2585_3050,shape_2585_3050
direction3051,0,2598,2598_3051,shape_2598_3051
direction3052,0,2598,2598_3052,shape_2598_3052
direction3053,0,2680,2680_3053,shape_2680_3053
direction3054,0,2680,2680_3054,shape_2680_3054
direction3055,0,2659,2659_3055,shape_2659_3055
direction3056,0,2659,2659_3056,shape_2659_3056
direction3057,0,2689,2689_3057,shape_2689_3057
direction3058,0,2689,2689_3058,shape_2689_3058
